Mito_Label,ROI_Area_px2,Cristae_Count,Line_Length_px,Density_per_1000px2
00048-17308,37488.259,3,47.395,0.080
00053-17222,24743.432,4,58.704,0.162
00056-19262,63691.924,5,79.355,0.079
00070-13373,74058.504,0,0.000,0.000
00132-11345,51940.270,5,89.767,0.096
00142-13487,105168.981,6,107.465,0.057
00143-11482,78718.365,5,109.719,0.064
00177-10922,147070.149,12,251.335,0.082
00182-13259,74053.135,7,166.830,0.095
00182-19286,71572.887,0,0.000,0.000
00218-12853,223630.375,12,287.221,0.054
00222-13925,168823.325,0,0.000,0.000
00306-13222,78240.568,5,105.355,0.064
00306-14268,237819.330,16,310.319,0.067
00327-13553,128709.868,11,188.631,0.085
00329-11468,86502.694,0,0.000,0.000
00329-15298,222588.886,0,0.000,0.000
00408-14990,100294.379,0,0.000,0.000
00434-13318,47103.248,0,0.000,0.000
00471-13217,56788.028,6,103.532,0.106
00502-13717,94281.656,6,132.497,0.064
00573-13183,25167.544,0,0.000,0.000
00581-13323,37847.949,3,70.728,0.079
00653-13244,24501.849,3,54.226,0.122
00781-16979,33343.774,0,0.000,0.000
00931-14192,104862.976,0,0.000,0.000
00944-19305,160824.255,12,299.682,0.075
01039-14100,49186.228,0,0.000,0.000
01118-13941,58237.524,0,0.000,0.000
01180-14389,99934.690,4,84.805,0.040
01201-13798,256249.402,0,0.000,0.000
01211-09825,20572.105,4,88.989,0.194
01236-13309,43152.030,0,0.000,0.000
01275-12964,29381.819,4,69.040,0.136
01300-13443,88177.667,0,0.000,0.000
01325-11464,98200.663,0,0.000,0.000
01332-13179,156384.502,0,0.000,0.000
01387-13519,59821.233,3,85.194,0.050
01397-13869,72029.209,4,74.691,0.056
01437-12398,77956.037,0,0.000,0.000
01439-12312,168619.322,0,0.000,0.000
01478-13016,79212.267,3,49.986,0.038
01500-14743,75830.110,5,99.373,0.066
01509-13450,18301.228,0,0.000,0.000
01551-13939,208110.032,9,265.949,0.043
01581-13576,96536.427,0,0.000,0.000
01583-14675,168613.953,4,86.833,0.024
01583-14971,101872.719,11,217.236,0.108
01586-19127,54377.570,3,57.818,0.055
01601-14471,41020.734,3,57.934,0.073
01649-13452,26107.032,3,51.114,0.115
01651-13740,103220.214,6,132.943,0.058
01673-13163,33843.045,2,43.075,0.059
01734-10726,88446.093,0,0.000,0.000
01735-14169,65613.848,0,0.000,0.000
01739-19939,37364.783,0,0.000,0.000
01745-15956,45793.334,4,75.669,0.087
01756-15028,91173.292,6,140.237,0.066
01761-13950,98581.827,6,147.715,0.061
01766-14469,130266.734,8,239.111,0.061
01783-12068,127512.691,13,301.810,0.102
01797-14331,73516.285,5,115.112,0.068
01798-13440,151182.423,0,0.000,0.000
01799-16899,96434.426,0,0.000,0.000
01815-12341,130336.524,10,271.428,0.077
01899-13729,198393.041,0,0.000,0.000
01915-13348,184923.466,7,192.800,0.038
01936-12443,26949.887,4,72.605,0.148
01955-18761,63713.398,4,86.809,0.063
02014-12248,98952.254,0,0.000,0.000
02033-13079,89047.365,0,0.000,0.000
02042-11841,101008.390,9,226.168,0.089
02080-13264,84323.082,5,133.011,0.059
02084-13835,77698.349,5,97.497,0.064
02097-20758,71401.094,4,77.778,0.056
02107-11428,173048.337,11,246.133,0.064
02135-13497,35212.013,3,64.242,0.085
02170-15532,148208.272,0,0.000,0.000
02170-18720,49551.286,5,125.034,0.101
02173-13366,66617.758,4,93.871,0.060
02203-13735,81837.465,4,108.242,0.049
02215-19194,31201.741,4,57.554,0.128
02235-20100,115320.820,8,206.477,0.069
02269-13960,76442.119,6,149.578,0.078
02326-12068,313697.756,0,0.000,0.000
02373-13168,111782.977,0,0.000,0.000
02390-13769,65286.369,3,56.543,0.046
02432-19249,60293.661,0,0.000,0.000
02472-13601,67020.396,6,100.031,0.090
02475-12150,34793.270,4,82.256,0.115
02489-14030,34830.850,0,0.000,0.000
02496-20264,80978.504,0,0.000,0.000
02512-09569,99328.049,0,0.000,0.000
02600-11686,60341.978,0,0.000,0.000
02653-12311,211449.241,13,349.638,0.061
02666-12128,81611.988,0,0.000,0.000
02690-18556,47935.366,3,57.735,0.063
02698-11686,103875.171,0,0.000,0.000
02704-11134,69012.110,0,0.000,0.000
02705-13079,341817.976,11,247.084,0.032
02712-13428,151359.583,9,218.747,0.059
02741-13766,138002.747,12,243.195,0.087
02867-11669,70853.507,0,0.000,0.000
02888-13460,23234.882,3,64.339,0.129
02948-13749,216302.368,14,297.834,0.065
02969-11328,648413.202,35,793.357,0.054
03028-09799,469663.515,22,506.173,0.047
03030-11252,61243.886,4,80.376,0.065
03096-17372,65791.008,0,0.000,0.000
03113-18106,37445.311,0,0.000,0.000
03133-10278,114687.337,0,0.000,0.000
03140-13724,80661.763,5,119.245,0.062
03213-07810,111165.599,11,230.790,0.099
03213-17942,116013.357,7,132.388,0.060
03343-18173,76705.176,4,116.570,0.052
03396-11806,77687.612,0,0.000,0.000
03451-17626,32549.236,4,80.113,0.123
03462-19831,33370.617,4,83.411,0.120
03489-08503,71175.617,5,87.317,0.070
03500-07698,53507.873,0,0.000,0.000
03502-18338,37676.156,3,77.924,0.080
03504-19126,40371.145,4,78.748,0.099
03628-18288,46872.403,4,77.946,0.085
03657-11931,975473.163,32,837.265,0.033
03663-07448,120147.105,8,192.729,0.067
03685-10306,66360.070,0,0.000,0.000
03687-08680,67600.194,5,125.585,0.074
03707-18363,29859.616,3,50.216,0.100
03829-09928,135066.176,0,0.000,0.000
03858-07383,65458.161,5,84.806,0.076
03862-08549,137900.745,0,0.000,0.000
03885-19766,144294.633,10,173.997,0.069
03930-07654,33188.088,0,0.000,0.000
03934-08049,61716.314,6,93.313,0.097
03965-18303,58752.901,4,77.724,0.068
03975-08830,89782.850,4,71.685,0.045
03984-10159,114800.076,0,0.000,0.000
03993-16411,276885.929,15,421.712,0.054
03994-07413,176661.340,12,240.739,0.068
04178-07973,28984.550,5,97.253,0.173
04200-20241,34991.905,3,54.353,0.086
04227-07837,42421.913,5,107.128,0.118
04238-21514,237051.634,13,278.529,0.055
04245-12408,49760.658,5,128.872,0.100
04333-11322,127362.373,12,272.798,0.094
04370-07200,35625.388,3,66.848,0.084
04371-07686,79743.749,7,118.070,0.088
04400-11505,169623.232,17,375.949,0.100
04528-21621,344308.962,0,0.000,0.000
04532-07700,69312.747,5,82.042,0.072
04704-12487,424390.926,29,707.701,0.068
04733-19542,120012.892,5,81.515,0.042
04812-10270,114939.657,0,0.000,0.000
04852-21884,82444.106,0,0.000,0.000
04922-20550,102516.940,4,79.178,0.039
04981-14927,417819.878,20,395.594,0.048
04993-10216,96649.166,9,144.275,0.093
05006-07490,85305.518,6,100.025,0.070
05015-09949,96047.893,0,0.000,0.000
05021-12683,120544.374,0,0.000,0.000
05262-20888,79867.224,6,135.327,0.075
05314-21078,78358.675,0,0.000,0.000
05325-03923,68416.207,7,127.872,0.102
05358-03610,83480.227,0,0.000,0.000
05363-02525,72915.012,0,0.000,0.000
05385-04810,241233.698,19,413.516,0.079
05457-04224,36666.878,0,0.000,0.000
05464-03359,155139.010,7,187.280,0.045
05494-02947,141664.066,0,0.000,0.000
05496-04091,128285.756,0,0.000,0.000
05505-03863,66306.385,0,0.000,0.000
05519-03189,46555.661,5,92.829,0.107
05528-03666,115073.869,9,198.323,0.078
05589-13406,57453.723,9,206.414,0.157
05600-04605,70477.712,0,0.000,0.000
05642-03873,80527.550,6,140.168,0.075
05667-03012,93471.012,7,168.025,0.075
05679-02177,257516.368,11,204.997,0.043
05710-03242,77950.669,7,122.165,0.090
05714-02669,28635.597,5,80.641,0.175
05732-08962,118928.455,0,0.000,0.000
05753-03610,114837.655,0,0.000,0.000
05775-12561,75980.428,5,102.716,0.066
05793-09325,292937.754,25,497.111,0.085
05822-01961,140547.418,9,143.476,0.064
05823-12881,103638.957,0,0.000,0.000
05884-03625,156706.613,0,0.000,0.000
05892-02133,89713.059,0,0.000,0.000
05909-02756,329164.414,22,337.125,0.067
05939-08779,142694.819,0,0.000,0.000
05958-15769,274335.889,0,0.000,0.000
06021-02241,69339.589,0,0.000,0.000
06037-03636,112292.984,6,167.431,0.053
06043-02070,80028.279,8,160.677,0.100
06055-02975,69887.177,0,0.000,0.000
06083-01847,37445.311,5,83.064,0.134
06129-01665,147306.363,0,0.000,0.000
