Mito_Label,ROI_Area_px2,Cristae_Count,Line_Length_px,Density_per_1000px2
08165-09215,201689.302,0,0.000,0.000
08203-08128,217397.543,0,0.000,0.000
08358-08894,60873.459,0,0.000,0.000
08481-09361,115004.079,9,220.785,0.078
08580-13266,96815.589,5,115.323,0.052
08586-13879,103692.642,7,119.291,0.068
08662-07795,348614.502,12,250.888,0.034
08701-09159,91162.555,0,0.000,0.000
08722-13623,64228.774,4,85.237,0.062
08858-12114,97905.395,6,138.185,0.061
08861-14618,113753.217,0,0.000,0.000
08972-07320,518946.376,0,0.000,0.000
09052-02699,33714.201,5,80.170,0.148
09072-14556,96531.059,0,0.000,0.000
09164-09707,50904.149,5,91.730,0.098
09221-09455,54119.882,3,71.090,0.055
09236-09841,42352.123,5,88.700,0.118
09307-02696,105050.873,0,0.000,0.000
09310-09242,350702.849,23,465.888,0.066
09318-11397,124973.389,8,185.432,0.064
09327-07205,119320.355,0,0.000,0.000
09355-09464,56106.228,0,0.000,0.000
09477-09601,20845.898,0,0.000,0.000
09489-09120,84323.082,0,0.000,0.000
09503-07037,307180.393,23,534.303,0.075
09518-06653,169956.079,0,0.000,0.000
09532-08439,145218.015,6,158.738,0.041
09567-07436,87753.556,6,155.199,0.068
09632-07225,109291.991,9,200.010,0.082
09686-00703,106097.732,7,141.650,0.066
09770-07943,233562.107,15,327.452,0.064
09784-01538,89858.009,0,0.000,0.000
09786-06846,142082.810,0,0.000,0.000
09795-09010,150312.725,0,0.000,0.000
09857-08853,169381.649,10,228.002,0.059
09912-06680,266497.875,19,463.771,0.071
09935-06937,68652.421,3,76.488,0.044
09946-09568,124189.588,8,184.045,0.064
09978-03000,198452.095,0,0.000,0.000
09986-02724,442923.000,17,326.120,0.038
10022-06119,76334.749,0,0.000,0.000
10055-09117,251734.490,0,0.000,0.000
10117-05902,181632.574,5,96.897,0.028
10145-05694,98329.507,0,0.000,0.000
10148-07383,231377.126,10,214.009,0.043
10154-06386,140262.887,0,0.000,0.000
10155-05998,52020.797,0,0.000,0.000
